Muscle Group,Exercise Name,Instructions,Exercise URL,Video URL,Detailed How-To,Difficulty,Tags,Exercise Type
biceps,Chin Ups,"1
Grab the bar shoulder width apart with a supinated grip (palms facing you)
2
With your body hanging and arms fully extended, pull yourself up until your chin is past the bar.
3
Slowly return to starting position. Repeat.",https://musclewiki.com/bodyweight/male/biceps/chin-ups/,https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-chinup-front.mp4#t=0.1,"How To Perform The Chin Up

Setup

Grab the Chin Up bar with an underhand grip. Make sure the bars are set very deeply in your hand. Your palms should be making contact with the bar. 

Next, if you are using a bench or box to reach the Chin Up bars, step off of the step, and hold for a second, in a dead hang position. If you begin initiating the reps before the dead hang, you might swing too much to perform the exercise strictly. If you can reach the  bars without having to stand on anything, take your grip and then pull your feet slightly off the floor. Still hold for a second to prevent any swinging from happening.

Pull your shoulder blades down. This will engage your mid and lower traps and force your lats to do most of the work. Also, before beginning the first rep, make sure your elbows are extended.

Lower body
Angle your legs forward slightly, push your hips back, and point your toes. This will force you to flex your abdominals and keep you more stable throughout the rep. (This will massively help you keep the reps strict).

Performing
Once you are in the proper position, begin to pull. Imagine trying to pull your elbows straight down to your sides.

Get your chin over the bar before beginning the eccentric portion of the rap. Your elbows should fully extend at the bottom of each rep.

Progressing The Chin Up



Decide on a rep range. For example, 6 to 10. Once you are able to perform 10 reps with strict form, then it is time to progress. Do not be shy or hesitant to start adding weight  early on. Even if it is only 5 pounds. Progress is progress! From there, progress like you would any other exercise. Once you hit the top end of the rep range, add some more weight.

The best way to get better at doing Chin Ups is to do Chin Ups. But if you can't do them in the first place, then what should you do? 

Try the Neutral Grip Chin Up. It’s an easier variation because the lats are in their strongest position.

Shorten the range of motion, and try to get a longer range of motion overtime. if you can only do half a Chin Up,  (meaning you can get your elbows to roughly 90°) don't be ashamed to do those half reps. Set a rep range like with anything else. We will use 5 to 8 reps for this example. Once you are able to hit 8 of the half reps, try to go an extra 2 to 3 inches higher on each rep. You won't be able to do 8 when you advance the range of motion. So Build your way back up to 8.",Intermediate,"How To Do A Chin Ups, intermediate Bodyweight exercise, Bodyweight Exercise, How to do Chin Ups, At Home Exercise, Bodyweight Fitness, Lats Exercise",Muscle Building
biceps,Cable Bayesian Curl,"1
Use a handle attachment. The cable should be set all the way to the bottom of the machine.
2
Face away from the cable machine.
3
Stagger your stance so you have a better base of support. Face your palm forward. Flex at the elbow and extend.",https://musclewiki.com/cables/male/biceps/cable-bilateral-bayesian-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-bilateral-bayesian-curl-side.mp4#t=0.1,,Beginner,"Biceps Exercise, Bicep Exercise, Arm Exercise",Muscle Building
biceps,Dumbbell Curl,"1
Stand up straight with a dumbbell in each hand at arm's length.
2
Raise one dumbbell and twist your forearm until it is vertical and your palm faces the shoulder.
3
Lower to original position and repeat with opposite arm",https://musclewiki.com/dumbbells/male/biceps/dumbbell-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-curl-front.mp4#t=0.1,"How To Perform the Dumbbell Bicep Curl

Setup
Grab two dumbbells and stand tall with your shoulder blades pulled back and your chest poked out. You can start with either the dumbbells in front of your quads or off to the sides of your legs. Whichever is more comfortable. Also, whichever will allow you to fully extend your elbows at the bottom of each rep.

Use a shoulder width or slightly inside of shoulder width stance. 

Performing 
Begin the rep by flexing your elbows. Try to touch your forearms to your biceps at the very top of the movement. Then begin the eccentric. Make sure to fully extend your elbows at the bottom of each rep so you get a full range of motion. 

It is easy to use momentum on a bicep curl. We want our muscles and not momentum to do the work. So make sure you keep these strict. If you find yourself swinging the weight up, then your biceps have hit fatigue and it's time to end the set.",Novice,"Biceps Exercise, beginner Dumbbells exercise, Arm Exercise, How to do Dumbbell Curl, How To Do A Dumbbell Curl, Bicep Exercise, Dumbbell Exercise",Muscle Building
biceps,Dumbbell Hammer Curl,"1
Hold the dumbbells with a neutral grip (thumbs facing the ceiling).
2
Slowly lift the dumbbell up to chest height
3
Return to starting position and repeat.",https://musclewiki.com/dumbbells/male/biceps/dumbbell-hammer-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-hammer-curl-front.mp4#t=0.1,,Novice,"Biceps Exercise, beginner Dumbbells exercise, Arm Exercise, How To Do A Dumbbell Hammer Curl, How to do Dumbbell Hammer Curl, Bicep Exercise, Dumbbell Exercise",Muscle Building
biceps,Dumbbell Reverse Curl,"1
Grab the dumbbells with a pronated (overhand) grip. You can do this exercise thumbless if it's more comfortable on your wrists.
2
Flex at the elbows until your biceps touch your forearms. Try not to let your elbows flair outward.",https://musclewiki.com/dumbbells/male/biceps/dumbbell-reverse-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-reverse-curl-front.mp4#t=0.1,,Novice,"How to do Dumbbell Reverse Curl, How To Do A Dumbbell Reverse Curl, Bicep Exercise, Dumbbell Exercise, Arm Exercise, intermediate Dumbbells exercise, Biceps Exercise",Muscle Building
biceps,Cable Twisting Curl,"1
Use a handle attachment. The cable should be set all the way to the bottom of the machine.
2
Face away from the cable machine. Stagger your stance so you have a better base of support.
3
Start with a neutral grip. Flex at the elbow. While flexing twist your palm. When you hit the top of the movement your palm should be facing upward.",https://musclewiki.com/cables/male/biceps/cable-twisting-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-cable-twisting-curl-front.mp4#t=0.1,,Advanced,"Biceps Exercise, How to do Cable Twisting Curl, advanced exercise, Arm Exercise, advanced Cables exercise, Bicep Exercise, How To Do A Cable Twisting Curl",Muscle Building
biceps,Barbell Reverse Curl,"1
Take a double overhand grip that's about shoulder width. Flex your elbows while keeping your elbows tucked in. Try not to let them flare out.
2
Curl until your forearm presses into your bicep. Then fully extend your elbows at the bottom of each rep.",https://musclewiki.com/barbell/male/biceps/barbell-reverse-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-reverse-curl-front.mp4#t=0.1,"Barbell Reverse Curl: A Comprehensive Guide
Setup
Select a barbell with the appropriate weight for your strength level
Stand with your feet shoulder-width apart and grip the barbell with a shoulder-width overhand grip
Keep your arms straight and the barbell hanging at arm's length in front of your thighs
How to Perform
Breathe in and tighten your core
Curl the barbell upwards towards your chest, keeping your upper arms stationary and your elbows tucked in close to your torso
Hold the contraction at the top for a count of one
Lower the barbell back down to the starting position with control, inhaling as you do so
Repeat the movement for the desired number of reps
Technique
Keep your movements smooth and controlled throughout the exercise
Avoid using momentum to swing the barbell up and down
Keep your head and neck in a neutral position, looking straight ahead and avoiding any unnecessary neck strain
Engage your shoulder blades and keep your shoulders down and away from your ears
Things to Avoid
Using a weight that is too heavy and sacrificing form
Arching your back or swaying excessively
Locking out your elbows at the top of the movement
Allowing your elbows to flare out to the sides",Advanced,"How To Do A Barbell Reverse Curl, Bicep Exercise, How to do Barbell Reverse Curl, advanced exercise, advanced Barbell exercise, Arm Exercise, Biceps Exercise",Muscle Building
biceps,Barbell Bent Over Row,"1
Grab a barbell with a shoulder width pronated or supinated grip.
2
Bend forward at your hips while maintaining a flat back.
3
Pull the weight toward your upper abdomen.
4
Lower the weight in a controlled manner and repeat.",https://musclewiki.com/barbell/male/biceps/barbell-bent-over-row/,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-bent-over-row-front.mp4#t=0.1,"How To Perform The Barbell Row (Supinated) 

Setting Up
Grab your barbell with an underhand/supinated grip. Stay with feet about shoulder width apart or a little more narrow. Push your butt back and hinge at the hips. Make sure you keep your back flat throughout the entirety of this exercise. Before beginning your set, let your elbows fully extend.

The closer your torso is to parallel with the ground. The longer the range of motion will be during your row. The more vertical your torso is, the shorter the range of motion. It's extremely important to hinge as far forward as you can without rounding your back and maintaining that torso position for the entire set.

Performing 
Pull your elbows straight back toward the ceiling until the bar touches your torso. The bar should land somewhere between your belly button and your rib cage. Use the cue, ""squeeze the tennis ball."" Imagine you have a tennis ball in your armpits and when you perform each rep try to squeeze that tennis ball.

On the eccentric, let your elbows fully extend before initiating the next rep. Ego lifting is very easy to do with the barbell row. If you find yourself having to bounce or use momentum to get the weight from point A to point B, the weight is too heavy. Your torso should maintain its horizontal position for the entire set.",Intermediate,"intermediate Barbell exercise, How To Do A Barbell Bent Over Row, How to do Barbell Bent Over Row, Lats Exercise",Muscle Building
biceps,Cable Pull In,"1
Use a handle attachment set all the way to the top of the cable crossover machine.
2
Walk a few steps away from the cable machine. Face your body sideways.
3
Face your palm up toward the ceiling. Then pull your elbow in toward your rib cage.",https://musclewiki.com/cables/male/biceps/cable-pull-in/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-pull-in-front.mp4#t=0.1,,Novice,"Lats Exercise, How to do Cable Pull In, How To Do A Cable Pull In, intermediate Cables exercise",Muscle Building
biceps,Cable Single Arm Hammer Curl,"1
Use a handle attachment. The cable should be set all the way to the bottom of the machine.
2
Face away from the cable machine. Stagger your stance so you have a better base of support.
3
Use a neutral grip thumb facing up pinky-facing down). Flex at the elbow and extend.",https://musclewiki.com/cables/male/biceps/cable-single-arm-hammer-curl/,https://media.musclewiki.com/media/uploads/videos/branded/male-Cables-cable-hammer-curl-front.mp4#t=0.1,,Beginner,"Biceps Exercise, beginner Cables exercise, How To Do A Cable Hammer Curl, Arm Exercise, Bicep Exercise, How to do Cable Hammer Curl",Muscle Building
